,id,name,proportion_technical,founder_from_institute,founder_has_phd,founder_pat_pub
885,891282,Innersense,0.14285714285714285,0.0,0.0,0.0
886,20349,OpenDataSoft,0.15384615384615385,0.0,0.0,0.0
887,931089,ForePaaS,0.22727272727272727,0.0,0.0,0.0
888,1248586,Goshaba,0.2,0.0,1.0,1.0
889,74919,Paymium,0.06666666666666667,0.0,0.0,1.0
890,1450495,Japet,0.5555555555555556,1.0,0.0,2.0
891,1671960,Wefight,0.25,0.0,0.0,1.0
892,951687,Novolyze,0.23809523809523808,0.0,0.0,1.0
893,891398,Blue Frog Robotics,,,,
894,1742688,Buddytherobot.com,,,,
895,1481638,In2Bones,0.26666666666666666,0.0,0.0,0.0
896,892030,Donecle,0.42857142857142855,0.0,0.0,0.0
897,894812,Tilkal,0.1111111111111111,0.0,0.0,2.0
898,894824,Auxivia,0.1875,0.0,0.0,1.0
899,1659889,Posos,0.47368421052631576,0.0,2.0,0.0
900,970939,OZ Biosciences SAS,0.6153846153846154,0.0,1.0,0.0
901,1747330,Meshroom VR,0.09090909090909091,0.0,0.0,0.0
902,1511659,La Fourche,0.08108108108108109,0.0,0.0,0.0
903,903242,Roofstreet,0.0,0.0,0.0,1.0
904,885404,Algama,0.38461538461538464,0.0,1.0,0.0
905,1483519,Imascap SAS,0.6551724137931034,0.0,1.0,0.0
906,1464724,In&motion,0.14285714285714285,0.0,0.0,0.0
907,1447986,Skipper NDT,0.5555555555555556,0.0,0.0,0.0
908,891415,Terabee,0.46875,1.0,1.0,0.0
909,923728,Enovap,0.1,1.0,1.0,2.0
910,974021,Amarisoft,0.3,0.0,0.0,0.0
911,1660163,ANAMNESE,0.07692307692307693,0.0,0.0,0.0
912,1249032,OnTracks,0.0,0.0,0.0,0.0
913,883038,Prêt à Pousser,0.14285714285714285,0.0,0.0,0.0
914,927184,Neomedlight,0.42857142857142855,0.0,0.0,0.0
915,894835,Cycle farms,0.4,0.0,0.0,0.0
916,973264,Enerdigit,0.375,0.0,0.0,0.0
917,863082,Hostabee,0.0,0.0,0.0,0.0
918,959416,IFollow,0.55,0.0,0.0,0.0
919,874221,Divacore,0.0,0.0,0.0,0.0
920,970154,GeNouRoB,0.05,0.0,0.0,0.0
921,146187,SynchroNext,0.0,0.0,0.0,0.0
922,1453517,Sabi Agri,0.3,0.0,0.0,0.0
923,80516,Niland,1.0,0.0,0.0,0.0
924,1481033,GYROLIFT,0.8181818181818182,0.0,1.0,1.0
925,1860226,FLOD AI,0.0,0.0,0.0,0.0
926,1836878,The WiW,0.0,0.0,0.0,0.0
927,971453,TexiSense,0.7142857142857143,0.0,0.0,0.0
928,882333,Dexstr,0.2222222222222222,1.0,0.0,0.0
929,894802,Occi,,,,
930,958083,Turbotech Industrie,,,,
931,1748072,Oniris,,,,
932,1662314,Bilberry,0.3333333333333333,0.0,0.0,0.0
933,146224,FlightWatching,0.0,0.0,0.0,0.0
934,909138,Hionos,0.5555555555555556,0.0,1.0,2.0
935,1748067,Innixim,,,,
936,151319,GOOT,0.0,0.0,0.0,0.0
937,1758305,NeuroSys,0.6666666666666666,0.0,0.0,0.0
938,1742907,Miravas,,,,
939,919638,Wyca Robotics,0.2222222222222222,0.0,0.0,1.0
940,1889309,Zéphyr Solar,,,,
941,1765271,Belovia,0.0,0.0,0.0,0.0
942,1748076,Medihandtrace,,,,
943,1480999,OneFit Medical,,,,
944,1708152,Simpulse,0.25,0.0,0.0,0.0
945,1480050,Medsenic,0.0,0.0,0.0,0.0
946,1479574,3Dvarius,,,,
947,971537,UROsphere SAS,0.3333333333333333,0.0,0.0,0.0
948,1715748,Facepoint,0.08333333333333333,0.0,0.0,1.0
949,161956,Novitact,,,,
950,1482130,Ip-Maker,0.0,0.0,0.0,0.0
951,1841528,Unibiome,0.5,1.0,0.0,0.0
952,1835034,DRONE ACT,0.4,0.0,0.0,0.0
953,1248554,Batvoice Technologies,0.7142857142857143,1.0,0.0,0.0
954,1470701,Synovo,,,,
955,1450558,Bloc in Bloc,0.125,0.0,0.0,1.0
956,1748252,Mobapi,,,,
957,1748044,Vibiosphen,0.0,0.0,0.0,0.0
958,1603654,Biocellvia,0.3333333333333333,1.0,1.0,0.0
959,1683442,Protifly,0.2,0.0,0.0,0.0
960,1757866,Konverso,0.3333333333333333,0.0,0.0,1.0
961,1835332,GreenCityZen,0.0,0.0,0.0,0.0
962,881289,Storyzy,0.2,0.0,0.0,1.0
963,1479410,Timelab SAS,,,,
964,1480161,QualyCloud,0.1111111111111111,0.0,1.0,0.0
965,1481211,Aeromapper,0.0,0.0,0.0,0.0
966,1479697,Hi-phen,0.75,0.0,1.0,1.0
967,2008,Delivery Hero,,,,
968,1974,CRITEO,,,,
969,144335,Ogury,,,,
970,34244,EASYRECRUE,0.1111111111111111,0.0,0.0,0.0
971,20039,La Ruche qui dit Oui!,,,,
972,1515254,ControlExpert,,,,
973,885971,Agricool,0.19672131147540983,0.0,0.0,1.0
974,20382,ZenChef,0.09433962264150944,0.0,1.0,1.0
975,1663042,Potager City,0.02531645569620253,0.0,0.0,0.0
976,885695,Saagie,0.23863636363636365,0.0,0.0,0.0
977,25723,LaFourchette,,,,
978,20408,tinyclues,0.2878787878787879,1.0,1.0,1.0
979,962941,Ekim,0.28,1.0,0.0,2.0
980,1482396,Coinhouse,0.06896551724137931,0.0,0.0,1.0
981,1634376,Wilov,0.0,0.0,0.0,0.0
982,883581,Doctrine,0.14942528735632185,1.0,1.0,2.0
983,872106,MiiMOSA,0.0975609756097561,0.0,0.0,0.0
